Decade	Year	Commodity	EndUse	Category	Item	Unit	PublishValue
1970's	1970	Broccoli	Fresh	Availability	Domestic Availability	Million pounds	109.2
1970's	1970	Broccoli	Fresh	Availability	Per Capita Availability	Pounds	0.53
1970's	1970	Broccoli	Fresh	Season Average Price	Current Dollars	$/cwt	13.4
1970's	1970	Broccoli	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	61.82
1970's	1970	Broccoli	Processing	Supply	Production	Million pounds	216.1
1970's	1970	Broccoli	Processing	Supply	Imports	Million pounds	0
1970's	1970	Broccoli	Processing	Supply	Beginning Stocks	Million pounds	68.5
1970's	1970	Broccoli	Processing	Supply	Total Supply	Million pounds	284.6
1970's	1970	Broccoli	Processing	Availability	Exports	Million pounds	2.4
1970's	1970	Broccoli	Processing	Availability	Ending Stocks	Million pounds	84.4
1970's	1970	Broccoli	Processing	Availability	Domestic Availability	Million pounds	197.9
1970's	1970	Broccoli	Processing	Availability	Per Capita Availability	Pounds	0.97
1970's	1970	Broccoli	Processing	Season Average Price	Current Dollars	$/ton	161
1970's	1970	Broccoli	Processing	Season Average Price	Constant 2012 Dollars	$/ton	742.72
1970's	1970	Brussels Sprouts	All uses	Supply	Production	Million pounds	58.7
1970's	1970	Brussels Sprouts	All uses	Supply	Beginning Stocks	Million pounds	49.8
1970's	1970	Brussels Sprouts	All uses	Supply	Total Supply	Million pounds	108.5
1970's	1970	Brussels Sprouts	All uses	Availability	Ending Stocks	Million pounds	43.5
1970's	1970	Brussels Sprouts	All uses	Availability	Domestic Availability	Million pounds	65.1
1970's	1970	Brussels Sprouts	All uses	Availability	Per Capita Availability	Pounds	0.32
1970's	1970	Brussels Sprouts	All uses	Season Average Price	Current Dollars	$/cwt	13.5
1970's	1970	Brussels Sprouts	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	62.28
1970's	1970	Cabbage	Fresh	Supply	Production	Million pounds	1866.9
1970's	1970	Cabbage	Fresh	Supply	Imports	Million pounds	7.7
1970's	1970	Cabbage	Fresh	Supply	Total Supply	Million pounds	1874.6
1970's	1970	Cabbage	Fresh	Availability	Exports	Million pounds	61.1
1970's	1970	Cabbage	Fresh	Availability	Shrink and Loss	Million pounds	35.2
1970's	1970	Cabbage	Fresh	Availability	Domestic Availability	Million pounds	1778.3
1970's	1970	Cabbage	Fresh	Availability	Per Capita Availability	Pounds	8.67
1970's	1970	Cabbage	Fresh	Season Average Price	Current Dollars	$/cwt	3.41
1970's	1970	Cabbage	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	15.73
1970's	1970	Cabbage	Processing	Supply	Production	Million pounds	532.2
1970's	1970	Cabbage	Processing	Supply	Imports	Million pounds	0.1
1970's	1970	Cabbage	Processing	Supply	Beginning Stocks	Million pounds	362.6
1970's	1970	Cabbage	Processing	Supply	Total Supply	Million pounds	894.9
1970's	1970	Cabbage	Processing	Availability	Ending Stocks	Million pounds	422.7
1970's	1970	Cabbage	Processing	Availability	Domestic Availability	Million pounds	472.2
1970's	1970	Cabbage	Processing	Availability	Per Capita Availability	Pounds	2.3
1970's	1970	Cabbage	Processing	Season Average Price	Current Dollars	$/ton	17.7
1970's	1970	Cabbage	Processing	Season Average Price	Constant 2012 Dollars	$/ton	81.65
1970's	1970	Carrots	Canning	Supply	Production	Million pounds	405.4
1970's	1970	Carrots	Canning	Supply	Imports	Million pounds	0
1970's	1970	Carrots	Canning	Supply	Beginning Stocks	Million pounds	308
1970's	1970	Carrots	Canning	Supply	Total Supply	Million pounds	713.4
1970's	1970	Carrots	Canning	Availability	Exports	Million pounds	0
1970's	1970	Carrots	Canning	Availability	Ending Stocks	Million pounds	274.8
1970's	1970	Carrots	Canning	Availability	Domestic Availability	Million pounds	438.6
1970's	1970	Carrots	Canning	Availability	Per Capita Availability	Pounds	2.14
1970's	1970	Carrots	Freezing	Supply	Production	Million pounds	315
1970's	1970	Carrots	Freezing	Supply	Beginning Stocks	Million pounds	173.9
1970's	1970	Carrots	Freezing	Supply	Total Supply	Million pounds	488.8
1970's	1970	Carrots	Freezing	Availability	Exports	Million pounds	1.8
1970's	1970	Carrots	Freezing	Availability	Ending Stocks	Million pounds	199.8
1970's	1970	Carrots	Freezing	Availability	Domestic Availability	Million pounds	287.3
1970's	1970	Carrots	Freezing	Availability	Per Capita Availability	Pounds	1.4
1970's	1970	Carrots	Freezing	Season Average Price	Current Dollars	$/ton	28.2
1970's	1970	Carrots	Freezing	Season Average Price	Constant 2012 Dollars	$/ton	130.09
1970's	1970	Carrots	Fresh	Supply	Production	Million pounds	1218.2
1970's	1970	Carrots	Fresh	Supply	Imports	Million pounds	56.2
1970's	1970	Carrots	Fresh	Supply	Total Supply	Million pounds	1274.4
1970's	1970	Carrots	Fresh	Availability	Exports	Million pounds	50.6
1970's	1970	Carrots	Fresh	Availability	Domestic Availability	Million pounds	1223.8
1970's	1970	Carrots	Fresh	Availability	Per Capita Availability	Pounds	5.97
1970's	1970	Carrots	Fresh	Season Average Price	Current Dollars	$/cwt	5.09
1970's	1970	Carrots	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	23.48
1970's	1970	Cauliflower	Fresh	Supply	Production	Million pounds	151.9
1970's	1970	Cauliflower	Fresh	Supply	Imports	Million pounds	0.1
1970's	1970	Cauliflower	Fresh	Supply	Total Supply	Million pounds	152
1970's	1970	Cauliflower	Fresh	Availability	Domestic Availability	Million pounds	152
1970's	1970	Cauliflower	Fresh	Availability	Per Capita Availability	Pounds	0.74
1970's	1970	Cauliflower	Fresh	Season Average Price	Current Dollars	$/cwt	12.4
1970's	1970	Cauliflower	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	57.2
1970's	1970	Cauliflower	Processing	Supply	Production	Million pounds	94.4
1970's	1970	Cauliflower	Processing	Supply	Imports	Million pounds	0
1970's	1970	Cauliflower	Processing	Supply	Beginning Stocks	Million pounds	65.1
1970's	1970	Cauliflower	Processing	Supply	Total Supply	Million pounds	159.5
1970's	1970	Cauliflower	Processing	Availability	Exports	Million pounds	0.5
1970's	1970	Cauliflower	Processing	Availability	Ending Stocks	Million pounds	57
1970's	1970	Cauliflower	Processing	Availability	Domestic Availability	Million pounds	101.9
1970's	1970	Cauliflower	Processing	Availability	Per Capita Availability	Pounds	0.5
1970's	1970	Cauliflower	Processing	Season Average Price	Current Dollars	$/ton	106
1970's	1970	Cauliflower	Processing	Season Average Price	Constant 2012 Dollars	$/ton	489
1970's	1970	Celery	All uses	Supply	Production	Million pounds	1581.1
1970's	1970	Celery	All uses	Supply	Imports	Million pounds	1.7
1970's	1970	Celery	All uses	Supply	Total Supply	Million pounds	1582.8
1970's	1970	Celery	All uses	Availability	Exports	Million pounds	92.8
1970's	1970	Celery	All uses	Availability	Domestic Availability	Million pounds	1490
1970's	1970	Celery	All uses	Availability	Per Capita Availability	Pounds	7.27
1970's	1970	Celery	All uses	Season Average Price	Current Dollars	$/cwt	5.39
1970's	1970	Celery	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	24.87
1970's	1970	Cucumbers	Fresh	Supply	Production	Million pounds	447.8
1970's	1970	Cucumbers	Fresh	Supply	Imports	Million pounds	143.3
1970's	1970	Cucumbers	Fresh	Supply	Total Supply	Million pounds	591.1
1970's	1970	Cucumbers	Fresh	Availability	Exports	Million pounds	13.2
1970's	1970	Cucumbers	Fresh	Availability	Domestic Availability	Million pounds	577.9
1970's	1970	Cucumbers	Fresh	Availability	Per Capita Availability	Pounds	2.82
1970's	1970	Cucumbers	Fresh	Season Average Price	Current Dollars	$/cwt	6.42
1970's	1970	Cucumbers	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	29.62
1970's	1970	Cucumbers	Processing	Supply	Production	Million pounds	1177.6
1970's	1970	Cucumbers	Processing	Supply	Imports	Million pounds	3.6
1970's	1970	Cucumbers	Processing	Supply	Beginning Stocks	Million pounds	402
1970's	1970	Cucumbers	Processing	Supply	Total Supply	Million pounds	1583.2
1970's	1970	Cucumbers	Processing	Availability	Exports	Million pounds	0.9
1970's	1970	Cucumbers	Processing	Availability	Ending Stocks	Million pounds	421.1
1970's	1970	Cucumbers	Processing	Availability	Domestic Availability	Million pounds	1161.2
1970's	1970	Cucumbers	Processing	Availability	Per Capita Availability	Pounds	5.66
1970's	1970	Cucumbers	Processing	Season Average Price	Current Dollars	$/ton	94.1
1970's	1970	Cucumbers	Processing	Season Average Price	Constant 2012 Dollars	$/ton	434.1
1970's	1970	Eggplant	All uses	Supply	Production	Million pounds	46.7
1970's	1970	Eggplant	All uses	Supply	Imports	Million pounds	21.7
1970's	1970	Eggplant	All uses	Supply	Total Supply	Million pounds	68.4
1970's	1970	Eggplant	All uses	Availability	Domestic Availability	Million pounds	68.4
1970's	1970	Eggplant	All uses	Availability	Per Capita Availability	Pounds	0.33
1970's	1970	Eggplant	All uses	Season Average Price	Current Dollars	$/cwt	8.03
1970's	1970	Eggplant	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	37.04
1970's	1970	Escarole & Endive	All uses	Supply	Production	Million pounds	112
1970's	1970	Escarole & Endive	All uses	Supply	Imports	Million pounds	2.1
1970's	1970	Escarole & Endive	All uses	Supply	Total Supply	Million pounds	114.1
1970's	1970	Escarole & Endive	All uses	Availability	Domestic Availability	Million pounds	114.1
1970's	1970	Escarole & Endive	All uses	Availability	Per Capita Availability	Pounds	0.56
1970's	1970	Escarole & Endive	All uses	Season Average Price	Current Dollars	$/cwt	6.48
1970's	1970	Escarole & Endive	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	29.89
1970's	1970	Garlic	All uses	Supply	Production	Million pounds	72.8
1970's	1970	Garlic	All uses	Supply	Imports	Million pounds	19.4
1970's	1970	Garlic	All uses	Supply	Total Supply	Million pounds	92.2
1970's	1970	Garlic	All uses	Availability	Seed Use	Million pounds	1.5
1970's	1970	Garlic	All uses	Availability	Domestic Availability	Million pounds	90.7
1970's	1970	Garlic	All uses	Availability	Per Capita Availability	Pounds	0.44
1970's	1970	Garlic	All uses	Season Average Price	Current Dollars	$/cwt	8.39
1970's	1970	Garlic	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	38.7
1970's	1970	Green Lima Beans	Canning	Supply	Production	Million pounds	46.9
1970's	1970	Green Lima Beans	Canning	Supply	Total Supply	Million pounds	46.9
1970's	1970	Green Lima Beans	Canning	Availability	Domestic Availability	Million pounds	46.9
1970's	1970	Green Lima Beans	Canning	Availability	Per Capita Availability	Pounds	0.23
1970's	1970	Green Lima Beans	Canning	Season Average Price	Current Dollars	$/ton	157
1970's	1970	Green Lima Beans	Canning	Season Average Price	Constant 2012 Dollars	$/ton	724.27
1970's	1970	Green Lima Beans	Freezing	Supply	Production	Million pounds	110.6
1970's	1970	Green Lima Beans	Freezing	Supply	Imports	Million pounds	0
1970's	1970	Green Lima Beans	Freezing	Supply	Beginning Stocks	Million pounds	144.6
1970's	1970	Green Lima Beans	Freezing	Supply	Total Supply	Million pounds	255.2
1970's	1970	Green Lima Beans	Freezing	Availability	Exports	Million pounds	0
1970's	1970	Green Lima Beans	Freezing	Availability	Ending Stocks	Million pounds	109.5
1970's	1970	Green Lima Beans	Freezing	Availability	Domestic Availability	Million pounds	145.6
1970's	1970	Green Lima Beans	Freezing	Availability	Per Capita Availability	Pounds	0.71
1970's	1970	Green Lima Beans	Freezing	Season Average Price	Current Dollars	$/ton	195.44
1970's	1970	Green Lima Beans	Freezing	Season Average Price	Constant 2012 Dollars	$/ton	901.6
1970's	1970	Green Peas	Canning	Supply	Production	Million pounds	599.8
1970's	1970	Green Peas	Canning	Supply	Imports	Million pounds	8
1970's	1970	Green Peas	Canning	Supply	Beginning Stocks	Million pounds	461.2
1970's	1970	Green Peas	Canning	Supply	Total Supply	Million pounds	1069
1970's	1970	Green Peas	Canning	Availability	Exports	Million pounds	2.8
1970's	1970	Green Peas	Canning	Availability	Ending Stocks	Million pounds	412.8
1970's	1970	Green Peas	Canning	Availability	Domestic Availability	Million pounds	653.3
1970's	1970	Green Peas	Canning	Availability	Per Capita Availability	Pounds	3.19
1970's	1970	Green Peas	Canning	Season Average Price	Current Dollars	$/ton	109
1970's	1970	Green Peas	Canning	Season Average Price	Constant 2012 Dollars	$/ton	502.84
1970's	1970	Green Peas	Freezing	Supply	Production	Million pounds	352.7
1970's	1970	Green Peas	Freezing	Supply	Imports	Million pounds	0.2
1970's	1970	Green Peas	Freezing	Supply	Beginning Stocks	Million pounds	303.1
1970's	1970	Green Peas	Freezing	Supply	Total Supply	Million pounds	656
1970's	1970	Green Peas	Freezing	Availability	Exports	Million pounds	2.2
1970's	1970	Green Peas	Freezing	Availability	Ending Stocks	Million pounds	260.3
1970's	1970	Green Peas	Freezing	Availability	Domestic Availability	Million pounds	393.5
1970's	1970	Green Peas	Freezing	Availability	Per Capita Availability	Pounds	1.92
1970's	1970	Green Peas	Freezing	Season Average Price	Current Dollars	$/ton	109
1970's	1970	Green Peas	Freezing	Season Average Price	Constant 2012 Dollars	$/ton	502.84
1970's	1970	Head Lettuce	Fresh	Supply	Production	Million pounds	4836.5
1970's	1970	Head Lettuce	Fresh	Supply	Imports	Million pounds	2.3
1970's	1970	Head Lettuce	Fresh	Supply	Total Supply	Million pounds	4838.8
1970's	1970	Head Lettuce	Fresh	Availability	Exports	Million pounds	250.5
1970's	1970	Head Lettuce	Fresh	Availability	Domestic Availability	Million pounds	4588.3
1970's	1970	Head Lettuce	Fresh	Availability	Per Capita Availability	Pounds	22.38
1970's	1970	Head Lettuce	Fresh	Season Average Price	Current Dollars	$/cwt	4.75
1970's	1970	Head Lettuce	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	21.91
1970's	1970	Mushrooms	Fresh	Supply	Production	Million pounds	58.3
1970's	1970	Mushrooms	Fresh	Supply	Imports	Million pounds	0.4
1970's	1970	Mushrooms	Fresh	Supply	Total Supply	Million pounds	58.6
1970's	1970	Mushrooms	Fresh	Availability	Exports	Million pounds	0
1970's	1970	Mushrooms	Fresh	Availability	Domestic Availability	Million pounds	58.6
1970's	1970	Mushrooms	Fresh	Availability	Per Capita Availability	Pounds	0.28
1970's	1970	Mushrooms	Fresh	Season Average Price	Current Dollars	$/cwt	57.9
1970's	1970	Mushrooms	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	254.21
1970's	1970	Mushrooms	Processing	Supply	Production	Million pounds	148.5
1970's	1970	Mushrooms	Processing	Supply	Imports	Million pounds	54
1970's	1970	Mushrooms	Processing	Supply	Total Supply	Million pounds	202.5
1970's	1970	Mushrooms	Processing	Availability	Exports	Million pounds	0
1970's	1970	Mushrooms	Processing	Availability	Domestic Availability	Million pounds	202.5
1970's	1970	Mushrooms	Processing	Availability	Per Capita Availability	Pounds	0.99
1970's	1970	Mushrooms	Processing	Season Average Price	Current Dollars	$/cwt	39
1970's	1970	Mushrooms	Processing	Season Average Price	Constant 2012 Dollars	$/cwt	179.91
1970's	1970	Onions	Dehydrating	Supply	Production	Million pounds	470
1970's	1970	Onions	Dehydrating	Supply	Imports	Million pounds	0.7
1970's	1970	Onions	Dehydrating	Supply	Beginning Stocks	Million pounds	8.1
1970's	1970	Onions	Dehydrating	Supply	Total Supply	Million pounds	478.8
1970's	1970	Onions	Dehydrating	Availability	Exports	Million pounds	219.9
1970's	1970	Onions	Dehydrating	Availability	Ending Stocks	Million pounds	11.1
1970's	1970	Onions	Dehydrating	Availability	Shrink and Loss	Million pounds	5.7
1970's	1970	Onions	Dehydrating	Availability	Domestic Availability	Million pounds	242
1970's	1970	Onions	Dehydrating	Availability	Per Capita Availability	Pounds	1.18
1970's	1970	Onions	Fresh	Supply	Production	Million pounds	2602.3
1970's	1970	Onions	Fresh	Supply	Imports	Million pounds	83.4
1970's	1970	Onions	Fresh	Supply	Beginning Stocks	Million pounds	445.5
1970's	1970	Onions	Fresh	Supply	Total Supply	Million pounds	3131.2
1970's	1970	Onions	Fresh	Availability	Exports	Million pounds	147.2
1970's	1970	Onions	Fresh	Availability	Ending Stocks	Million pounds	553.9
1970's	1970	Onions	Fresh	Availability	Shrink and Loss	Million pounds	350.1
1970's	1970	Onions	Fresh	Availability	Domestic Availability	Million pounds	2080
1970's	1970	Onions	Fresh	Availability	Per Capita Availability	Pounds	10.14
1970's	1970	Onions	Fresh	Season Average Price	Current Dollars	$/cwt	3.67
1970's	1970	Onions	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	16.93
1970's	1970	"Peppers, Bell"	All uses	Supply	Production	Million pounds	387.2
1970's	1970	"Peppers, Bell"	All uses	Supply	Total Imports	Million pounds	69.9
1970's	1970	"Peppers, Bell"	All uses	Supply	Fresh Imports	Million pounds	69.9
1970's	1970	"Peppers, Bell"	All uses	Supply	Total Supply	Million pounds	457.1
1970's	1970	"Peppers, Bell"	All uses	Availability	Exports	Million pounds	13.6
1970's	1970	"Peppers, Bell"	All uses	Availability	Domestic Availability	Million pounds	443.5
1970's	1970	"Peppers, Bell"	All uses	Availability	Per Capita Availability	Pounds	2.16
1970's	1970	"Peppers, Bell"	All uses	Season Average Price	Current Dollars	$/cwt	11.7
1970's	1970	"Peppers, Bell"	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	53.97
1970's	1970	Potatoes	Canning	Supply	Production	Million pounds	402.7
1970's	1970	Potatoes	Canning	Supply	Imports	Million pounds	0
1970's	1970	Potatoes	Canning	Supply	Total Supply	Million pounds	402.7
1970's	1970	Potatoes	Canning	Availability	Exports	Million pounds	0
1970's	1970	Potatoes	Canning	Availability	Domestic Availability	Million pounds	402.7
1970's	1970	Potatoes	Canning	Availability	Per Capita Availability	Pounds	1.96
1970's	1970	Potatoes	Chips & shoestrings	Supply	Production	Million pounds	3566
1970's	1970	Potatoes	Chips & shoestrings	Supply	Imports	Million pounds	0
1970's	1970	Potatoes	Chips & shoestrings	Supply	Total Supply	Million pounds	3566
1970's	1970	Potatoes	Chips & shoestrings	Availability	Exports	Million pounds	0
1970's	1970	Potatoes	Chips & shoestrings	Availability	Domestic Availability	Million pounds	3566
1970's	1970	Potatoes	Chips & shoestrings	Availability	Per Capita Availability	Pounds	17.4
1970's	1970	Potatoes	Dehydrating	Supply	Production	Million pounds	2576.8
1970's	1970	Potatoes	Dehydrating	Supply	Imports	Million pounds	3.8
1970's	1970	Potatoes	Dehydrating	Supply	Total Supply	Million pounds	2580.6
1970's	1970	Potatoes	Dehydrating	Availability	Exports	Million pounds	123.1
1970's	1970	Potatoes	Dehydrating	Availability	Domestic Availability	Million pounds	2457.5
1970's	1970	Potatoes	Dehydrating	Availability	Per Capita Availability	Pounds	12
1970's	1970	Potatoes	Freezing	Supply	Production	Million pounds	6185.9
1970's	1970	Potatoes	Freezing	Supply	Imports	Million pounds	0
1970's	1970	Potatoes	Freezing	Supply	Beginning Stocks	Million pounds	880.9
1970's	1970	Potatoes	Freezing	Supply	Total Supply	Million pounds	7066.8
1970's	1970	Potatoes	Freezing	Availability	Exports	Million pounds	0
1970's	1970	Potatoes	Freezing	Availability	Ending Stocks	Million pounds	1217.3
1970's	1970	Potatoes	Freezing	Availability	Domestic Availability	Million pounds	5849.5
1970's	1970	Potatoes	Freezing	Availability	Per Capita Availability	Pounds	28.5
1970's	1970	Potatoes	Fresh	Supply	Production	Million pounds	12812
1970's	1970	Potatoes	Fresh	Supply	Imports	Million pounds	172.3
1970's	1970	Potatoes	Fresh	Supply	Total Supply	Million pounds	12984.3
1970's	1970	Potatoes	Fresh	Availability	Exports	Million pounds	310.7
1970's	1970	Potatoes	Fresh	Availability	Domestic Availability	Million pounds	12673.6
1970's	1970	Potatoes	Fresh	Availability	Per Capita Availability	Pounds	61.8
1970's	1970	Radishes	All uses	Supply	Production	Million pounds	83.7
1970's	1970	Radishes	All uses	Supply	Imports	Million pounds	19.4
1970's	1970	Radishes	All uses	Supply	Total Supply	Million pounds	103.1
1970's	1970	Radishes	All uses	Availability	Domestic Availability	Million pounds	103.1
1970's	1970	Radishes	All uses	Availability	Per Capita Availability	Pounds	0.5
1970's	1970	Snap beans	Canning	Supply	Production	Million pounds	875.4
1970's	1970	Snap beans	Canning	Supply	Imports	Million pounds	0.5
1970's	1970	Snap beans	Canning	Supply	Beginning Stocks	Million pounds	728.5
1970's	1970	Snap beans	Canning	Supply	Total Supply	Million pounds	1604.4
1970's	1970	Snap beans	Canning	Availability	Exports	Million pounds	3.6
1970's	1970	Snap beans	Canning	Availability	Ending Stocks	Million pounds	644
1970's	1970	Snap beans	Canning	Availability	Domestic Availability	Million pounds	956.7
1970's	1970	Snap beans	Canning	Availability	Per Capita Availability	Pounds	4.67
1970's	1970	Snap beans	Canning	Season Average Price	Current Dollars	$/ton	93.8
1970's	1970	Snap beans	Canning	Season Average Price	Constant 2012 Dollars	$/ton	432.72
1970's	1970	Snap beans	Freezing	Supply	Production	Million pounds	264.9
1970's	1970	Snap beans	Freezing	Supply	Imports	Million pounds	0
1970's	1970	Snap beans	Freezing	Supply	Beginning Stocks	Million pounds	190.6
1970's	1970	Snap beans	Freezing	Supply	Total Supply	Million pounds	455.5
1970's	1970	Snap beans	Freezing	Availability	Exports	Million pounds	1.7
1970's	1970	Snap beans	Freezing	Availability	Ending Stocks	Million pounds	168.2
1970's	1970	Snap beans	Freezing	Availability	Domestic Availability	Million pounds	285.6
1970's	1970	Snap beans	Freezing	Availability	Per Capita Availability	Pounds	1.39
1970's	1970	Snap beans	Freezing	Season Average Price	Current Dollars	$/ton	101
1970's	1970	Snap beans	Freezing	Season Average Price	Constant 2012 Dollars	$/ton	465.93
1970's	1970	Snap beans	Fresh	Supply	Production	Million pounds	312
1970's	1970	Snap beans	Fresh	Supply	Imports	Million pounds	12.5
1970's	1970	Snap beans	Fresh	Supply	Total Supply	Million pounds	324.5
1970's	1970	Snap beans	Fresh	Availability	Exports	Million pounds	7
1970's	1970	Snap beans	Fresh	Availability	Domestic Availability	Million pounds	317.5
1970's	1970	Snap beans	Fresh	Availability	Per Capita Availability	Pounds	1.55
1970's	1970	Snap beans	Fresh	Season Average Price	Current Dollars	$/cwt	13.1
1970's	1970	Snap beans	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	60.43
1970's	1970	Spinach	Canning	Supply	Production	Million pounds	148.9
1970's	1970	Spinach	Canning	Supply	Beginning Stocks	Million pounds	83
1970's	1970	Spinach	Canning	Supply	Total Supply	Million pounds	231.9
1970's	1970	Spinach	Canning	Availability	Ending Stocks	Million pounds	65.8
1970's	1970	Spinach	Canning	Availability	Domestic Availability	Million pounds	166.1
1970's	1970	Spinach	Canning	Availability	Per Capita Availability	Pounds	0.81
1970's	1970	Spinach	Canning	Season Average Price	Current Dollars	$/ton	43.33
1970's	1970	Spinach	Canning	Season Average Price	Constant 2012 Dollars	$/ton	199.89
1970's	1970	Spinach	Freezing	Supply	Production	Million pounds	153.2
1970's	1970	Spinach	Freezing	Supply	Beginning Stocks	Million pounds	52.7
1970's	1970	Spinach	Freezing	Supply	Total Supply	Million pounds	205.9
1970's	1970	Spinach	Freezing	Availability	Exports	Million pounds	1.2
1970's	1970	Spinach	Freezing	Availability	Ending Stocks	Million pounds	57.5
1970's	1970	Spinach	Freezing	Availability	Domestic Availability	Million pounds	147.3
1970's	1970	Spinach	Freezing	Availability	Per Capita Availability	Pounds	0.72
1970's	1970	Spinach	Freezing	Season Average Price	Current Dollars	$/ton	41.95
1970's	1970	Spinach	Freezing	Season Average Price	Constant 2012 Dollars	$/ton	193.5
1970's	1970	Spinach	Fresh	Supply	Production	Million pounds	61.1
1970's	1970	Spinach	Fresh	Supply	Total Supply	Million pounds	61.1
1970's	1970	Spinach	Fresh	Availability	Exports	Million pounds	0
1970's	1970	Spinach	Fresh	Availability	Domestic Availability	Million pounds	61.1
1970's	1970	Spinach	Fresh	Availability	Per Capita Availability	Pounds	0.3
1970's	1970	Spinach	Fresh	Season Average Price	Current Dollars	$/cwt	11.4
1970's	1970	Spinach	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	52.59
1970's	1970	Squash	All uses	Supply	Production	Million pounds	246.3
1970's	1970	Squash	All uses	Supply	Imports	Million pounds	26.2
1970's	1970	Squash	All uses	Supply	Total Supply	Million pounds	272.5
1970's	1970	Squash	All uses	Availability	Domestic Availability	Million pounds	272.5
1970's	1970	Squash	All uses	Availability	Per Capita Availability	Pounds	1.33
1970's	1970	Squash	All uses	Season Average Price	Current Dollars	$/cwt	12.1
1970's	1970	Squash	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	55.8
1970's	1970	Sweet Corn	Canning	Supply	Production	Million pounds	2813.4
1970's	1970	Sweet Corn	Canning	Supply	Beginning Stocks	Million pounds	2532.8
1970's	1970	Sweet Corn	Canning	Supply	Total Supply	Million pounds	5346.2
1970's	1970	Sweet Corn	Canning	Availability	Exports	Million pounds	38.4
1970's	1970	Sweet Corn	Canning	Availability	Ending Stocks	Million pounds	2382.8
1970's	1970	Sweet Corn	Canning	Availability	Domestic Availability	Million pounds	2925
